===============================================================================
Id,newsRACE,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
11,newsRACE,11,2021-03-05 14:52:00,187.67999267578125,187.67999267578125,187.24000549316406,187.24000549316406,4.510300608833731e-05,,0.8733275840088185,MA_cross_Sentiment,11,737854.6194444444,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
12,newsRACE,12,2021-03-05 14:54:00,187.16000366210938,187.38999938964844,187.16000366210938,187.38999938964844,4.227649820745791e-05,,0.7934226409090619,MA_cross_Sentiment,12,737854.6208333333,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
13,newsRACE,13,2021-03-05 14:56:00,187.3000030517578,187.3000030517578,186.80999755859375,186.80999755859375,3.953733247677705e-05,,0.7172229314603358,MA_cross_Sentiment,13,737854.6222222223,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
14,newsRACE,14,2021-03-05 14:58:00,186.9499969482422,187.3300018310547,186.9499969482422,186.97999572753906,3.6885508896294737e-05,,0.64472845566264,MA_cross_Sentiment,14,737854.6236111111,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
15,newsRACE,15,2021-03-05 15:00:00,186.92999267578125,186.9600067138672,186.8800048828125,186.9600067138672,3.4321027466010964e-05,,0.5759392135159747,MA_cross_Sentiment,15,737854.625,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
16,newsRACE,16,2021-03-05 15:02:00,186.9600067138672,187.0800018310547,186.92999267578125,187.0500030517578,3.184388818592575e-05,,0.5108552050203397,MA_cross_Sentiment,16,737854.6263888889,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
17,newsRACE,17,2021-03-05 15:06:00,187.5399932861328,187.64999389648438,187.5399932861328,187.5399932861328,2.7151636076350934e-05,,0.39180288898216,MA_cross_Sentiment,17,737854.6291666667,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0
18,newsRACE,18,2021-03-05 15:08:00,187.4199981689453,187.4199981689453,187.02000427246094,187.0500030517578,2.4936523246861343e-05,,0.3378345814396157,MA_cross_Sentiment,18,737854.6305555556,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.0
19,newsRACE,19,2021-03-05 15:10:00,187.10000610351562,187.10000610351562,186.85000610351562,186.85000610351562,2.2808752567570303e-05,,0.2875715075481017,MA_cross_Sentiment,19,737854.6319444445,Broker,19,1000.0,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.0
20,newsRACE,20,2021-03-05 15:12:00,186.83999633789062,186.83999633789062,186.50999450683594,186.52999877929688,2.0768324038477808e-05,,0.2410136673076181,MA_cross_Sentiment,20,737854.6333333333,Broker,20,1000.0,1000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.0
21,newsRACE,21,2021-03-05 15:14:00,186.7100067138672,186.80999755859375,186.64999389648438,186.64999389648438,1.8815237659583855e-05,,0.19816106071816464,MA_cross_Sentiment,21,737854.6347222222,Broker,21,1000.0,1000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,,DrawDown,21,0.0,0.0
22,newsRACE,22,2021-03-05 15:16:00,186.72999572753906,186.9199981689453,186.63499450683594,186.881103515625,1.6949493430888447e-05,,0.15901368777974162,MA_cross_Sentiment,22,737854.6361111111,Broker,22,1000.0,1000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,,DrawDown,22,0.0,0.0
23,newsRACE,23,2021-03-05 15:18:00,187.27000427246094,187.27000427246094,187.0,187.22000122070312,1.5171091352391583e-05,,0.12357154849234875,MA_cross_Sentiment,23,737854.6375,Broker,23,1000.0,1000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,,DrawDown,23,0.0,0.0
24,newsRACE,24,2021-03-05 15:20:00,187.10000610351562,187.1199951171875,186.7100067138672,186.72999572753906,1.3480031424093267e-05,,0.09183464285598614,MA_cross_Sentiment,24,737854.6388888889,Broker,24,1000.0,1000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,,DrawDown,24,0.0,0.0
25,newsRACE,25,2021-03-05 15:22:00,186.86000061035156,186.86000061035156,186.86000061035156,186.86000061035156,1.1876313645993498e-05,,0.06380297087065412,MA_cross_Sentiment,25,737854.6402777778,Broker,25,1000.0,1000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,,DrawDown,25,0.0,0.0
26,newsRACE,26,2021-03-05 15:24:00,186.9600067138672,187.2100067138672,186.94500732421875,187.2100067138672,1.0359938018092274e-05,,0.03947653253635214,MA_cross_Sentiment,26,737854.6416666667,Broker,26,1000.0,1000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,,DrawDown,26,0.0,0.0
27,newsRACE,27,2021-03-05 15:26:00,187.2100067138672,187.2722930908203,186.6699981689453,186.72000122070312,8.930904540389594e-06,,0.01885532785308064,MA_cross_Sentiment,27,737854.6430555555,Broker,27,1000.0,1000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,,DrawDown,27,0.0,0.0
28,newsRACE,28,2021-03-05 15:28:00,186.69500732421875,186.72999572753906,186.38999938964844,186.625,7.589213212885456e-06,,0.0019393568208392886,MA_cross_Sentiment,28,737854.6444444444,Broker,28,1000.0,1000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,,DrawDown,28,0.0,0.0
29,newsRACE,29,2021-03-05 15:30:00,186.25999450683594,186.56080627441406,186.11000061035156,186.11000061035156,6.334864035579866e-06,,-0.01127138056037158,MA_cross_Sentiment,29,737854.6458333334,Broker,29,1000.0,1000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,,DrawDown,29,0.0,0.0
30,newsRACE,30,2021-03-05 15:32:00,186.32000732421875,186.32000732421875,186.25999450683594,186.2899932861328,5.16785700847282e-06,,-0.020776884290552355,MA_cross_Sentiment,30,737854.6472222222,Broker,30,1000.0,1000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,,DrawDown,30,0.0,0.0
