===============================================================================
Id,newsF,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
13,newsF,13,2021-03-05 14:54:00,12.020000457763672,12.029999732971191,11.949999809265137,11.96500015258789,-0.4031330408579644,,-1.0,MA_cross_Sentiment,13,737854.6208333333,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
14,newsF,14,2021-03-05 14:56:00,11.96500015258789,12.0,11.920000076293945,11.941499710083008,-0.3831829153938463,,-1.0,MA_cross_Sentiment,14,737854.6222222223,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
15,newsF,15,2021-03-05 14:58:00,11.946000099182129,12.050000190734863,11.9399995803833,12.050000190734863,-0.3570221812719254,,-1.0,MA_cross_Sentiment,15,737854.6236111111,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
16,newsF,16,2021-03-05 15:00:00,12.050000190734863,12.074999809265137,11.992799758911133,12.072500228881836,-0.3246508384922017,,-1.0,MA_cross_Sentiment,16,737854.625,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
17,newsF,17,2021-03-05 15:02:00,12.074999809265137,12.08899974822998,12.039999961853027,12.05459976196289,-0.28606888705467526,,-1.0,MA_cross_Sentiment,17,737854.6263888889,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0
18,newsF,18,2021-03-05 15:04:00,12.056900024414062,12.109999656677246,12.045000076293945,12.104999542236328,-0.24127632695934584,,-0.9512226810752475,MA_cross_Sentiment,18,737854.6277777777,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.0
19,newsF,19,2021-03-05 15:06:00,12.100000381469727,12.149999618530273,12.080100059509277,12.140000343322754,-0.19027315820621363,,-0.7899786875908461,MA_cross_Sentiment,19,737854.6291666667,Broker,19,1000.0,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.0
20,newsF,20,2021-03-05 15:08:00,12.149999618530273,12.149999618530273,12.069999694824219,12.079899787902832,-0.13305938079527851,,-0.6193602429168379,MA_cross_Sentiment,20,737854.6305555556,Broker,20,1000.0,1000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.0
21,newsF,21,2021-03-05 15:10:00,12.074999809265137,12.109999656677246,12.069999694824219,12.074999809265137,-0.06963499472654072,,-0.43936734705322233,MA_cross_Sentiment,21,737854.6319444445,Broker,21,1000.0,1000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,,DrawDown,21,0.0,0.0
22,newsF,22,2021-03-05 15:12:00,12.074999809265137,12.079999923706055,12.03499984741211,12.050000190734863,0.0,,-0.25,MA_cross_Sentiment,22,737854.6333333333,Broker,22,1000.0,1000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,,DrawDown,22,0.0,0.0
23,newsF,23,2021-03-05 15:14:00,12.04800033569336,12.095000267028809,12.039999961853027,12.0649995803833,0.07584560338434354,,-0.05125820175717011,MA_cross_Sentiment,23,737854.6347222222,Broker,23,1000.0,1000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,,DrawDown,23,0.0,0.0
24,newsF,24,2021-03-05 15:16:00,12.0649995803833,12.119999885559082,12.050000190734863,12.104999542236328,0.1579018154264899,,0.15685804767526668,MA_cross_Sentiment,24,737854.6361111111,Broker,24,1000.0,1000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,,DrawDown,24,0.0,0.0
25,newsF,25,2021-03-05 15:18:00,12.104999542236328,12.140000343322754,12.100000381469727,12.104999542236328,0.23600711975539138,,0.35572027327007033,MA_cross_Sentiment,25,737854.6375,Broker,25,1000.0,1000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,,DrawDown,25,0.0,0.0
26,newsF,26,2021-03-05 15:20:00,12.100000381469727,12.119999885559082,12.039999961853027,12.074999809265137,0.3,,0.5267,MA_cross_Sentiment,26,737854.6388888889,Broker,26,1000.0,1000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,,DrawDown,26,0.0,0.0
27,newsF,27,2021-03-05 15:22:00,12.069999694824219,12.079999923706055,12.029999732971191,12.03499984741211,0.34988045616031566,,0.6697972278650555,MA_cross_Sentiment,27,737854.6402777778,Broker,27,1000.0,1000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,,DrawDown,27,0.0,0.0
28,newsF,28,2021-03-05 15:24:00,12.03499984741211,12.085000038146973,12.020000457763672,12.0649995803833,0.3856484882363387,,0.7850119568652373,MA_cross_Sentiment,28,737854.6416666667,Broker,28,1000.0,1000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,,DrawDown,28,0.0,0.0
29,newsF,29,2021-03-05 15:26:00,12.069899559020996,12.079999923706055,12.010000228881836,12.024999618530273,0.4073040962280691,,0.8723441870005457,MA_cross_Sentiment,29,737854.6430555555,Broker,29,1000.0,1000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,,DrawDown,29,0.0,0.0
30,newsF,30,2021-03-05 15:28:00,12.024999618530273,12.03499984741211,11.984999656677246,11.984999656677246,0.4148472801355064,,0.9317939182709796,MA_cross_Sentiment,30,737854.6444444444,Broker,30,1000.0,1000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,,DrawDown,30,0.0,0.0
31,newsF,31,2021-03-05 15:30:00,11.984999656677246,12.039999961853027,11.970000267028809,11.984999656677246,0.40827803995865114,,0.9633611506765399,MA_cross_Sentiment,31,737854.6458333334,Broker,31,1000.0,1000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,,DrawDown,31,0.0,0.0
32,newsF,32,2021-03-05 15:32:00,11.979999542236328,11.987000465393066,11.920000076293945,11.9350004196167,0.38759637569750305,,0.9670458842172263,MA_cross_Sentiment,32,737854.6472222222,Broker,32,1000.0,1000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,,DrawDown,32,0.0,0.0
33,newsF,33,2021-03-05 15:34:00,11.935400009155273,11.960000038146973,11.920000076293945,11.949999809265137,0.35280228735206215,,0.9428481188930387,MA_cross_Sentiment,33,737854.6486111111,Broker,33,1000.0,1000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,DrawDown,33,0.0,0.0
34,newsF,34,2021-03-05 15:36:00,11.95259952545166,12.0,11.90999984741211,11.920100212097168,0.3038957749223285,,0.8907678547039773,MA_cross_Sentiment,34,737854.65,Broker,34,1000.0,1000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,DrawDown,34,0.0,0.0
35,newsF,35,2021-03-05 15:38:00,11.920000076293945,11.970000267028809,11.890000343322754,11.895000457763672,0.24087683840830193,,0.8108050916500419,MA_cross_Sentiment,35,737854.651388889,Broker,35,1000.0,1000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,,DrawDown,35,0.0,0.0
