===============================================================================
Id,newsAMC,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
1,newsAMC,1,2021-02-25 14:30:00,,,,,,,,MA_cross_Sentiment,1,737846.6041666666,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0
2,newsAMC,2,2021-03-05 14:30:00,47.56999969482422,47.7400016784668,47.54999923706055,47.564998626708984,0.19808516182684413,,1.0,MA_cross_Sentiment,2,737854.6041666666,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0
3,newsAMC,3,2021-03-05 14:32:00,47.55500030517578,47.619998931884766,47.52000045776367,47.52000045776367,0.19829037632278257,,1.0,MA_cross_Sentiment,3,737854.6055555556,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0
4,newsAMC,4,2021-03-05 14:34:00,47.52000045776367,47.625,47.48500061035156,47.5099983215332,0.19849261909549493,,1.0,MA_cross_Sentiment,4,737854.6069444445,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0
5,newsAMC,5,2021-03-05 14:36:00,47.505001068115234,47.59000015258789,47.38999938964844,47.41999816894531,0.19869189014498115,,1.0,MA_cross_Sentiment,5,737854.6083333333,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0
6,newsAMC,6,2021-03-05 14:38:00,47.41999816894531,47.43000030517578,47.310001373291016,47.33000183105469,0.19888818947124132,,1.0,MA_cross_Sentiment,6,737854.6097222222,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
7,newsAMC,7,2021-03-05 14:40:00,47.31999969482422,47.470001220703125,47.31999969482422,47.44419860839844,0.19908151707427532,,1.0,MA_cross_Sentiment,7,737854.6111111111,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
8,newsAMC,8,2021-03-05 14:42:00,47.43000030517578,47.46500015258789,47.33000183105469,47.400001525878906,0.19927187295408322,,1.0,MA_cross_Sentiment,8,737854.6125,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
9,newsAMC,9,2021-03-05 14:44:00,47.39500045776367,47.459999084472656,47.380001068115234,47.45000076293945,0.199459257110665,,1.0,MA_cross_Sentiment,9,737854.6138888889,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
10,newsAMC,10,2021-03-05 14:46:00,47.439998626708984,47.4900016784668,47.400001525878906,47.470001220703125,0.19964366954402069,,1.0,MA_cross_Sentiment,10,737854.6152777778,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
11,newsAMC,11,2021-03-05 14:48:00,47.46500015258789,47.46500015258789,47.380001068115234,47.38999938964844,0.19982511025415023,,1.0,MA_cross_Sentiment,11,737854.6166666667,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
12,newsAMC,12,2021-03-05 14:50:00,47.369998931884766,47.43000030517578,47.34000015258789,47.380001068115234,0.20000357924105372,,1.0,MA_cross_Sentiment,12,737854.6180555555,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
13,newsAMC,13,2021-03-05 14:52:00,47.38999938964844,47.4900016784668,47.369998931884766,47.40999984741211,0.20017907650473105,,1.0,MA_cross_Sentiment,13,737854.6194444444,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
14,newsAMC,14,2021-03-05 14:54:00,47.40999984741211,47.4900016784668,47.38999938964844,47.40999984741211,0.2003516020451823,,1.0,MA_cross_Sentiment,14,737854.6208333333,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
15,newsAMC,15,2021-03-05 14:56:00,47.40999984741211,47.41999816894531,47.290000915527344,47.32500076293945,0.20052115586240737,,1.0,MA_cross_Sentiment,15,737854.6222222223,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
16,newsAMC,16,2021-03-05 14:58:00,47.31999969482422,47.369998931884766,47.29999923706055,47.369998931884766,0.20068773795640643,,1.0,MA_cross_Sentiment,16,737854.6236111111,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
17,newsAMC,17,2021-03-05 15:00:00,47.37900161743164,47.409000396728516,47.310001373291016,47.369998931884766,0.20085134832717935,,1.0,MA_cross_Sentiment,17,737854.625,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0
18,newsAMC,18,2021-03-05 15:02:00,47.369998931884766,47.47999954223633,47.34000015258789,47.36000061035156,0.20101198697472614,,1.0,MA_cross_Sentiment,18,737854.6263888889,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.0
19,newsAMC,19,2021-03-05 15:04:00,47.36000061035156,47.459999084472656,47.349998474121094,47.459999084472656,0.20116965389904684,,1.0,MA_cross_Sentiment,19,737854.6277777777,Broker,19,1000.0,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.0
20,newsAMC,20,2021-03-05 15:06:00,47.45000076293945,47.5099983215332,47.435001373291016,47.5099983215332,0.2013243491001414,,1.0,MA_cross_Sentiment,20,737854.6291666667,Broker,20,1000.0,1000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.0
21,newsAMC,21,2021-03-05 15:08:00,47.5,47.56999969482422,47.4900016784668,47.540000915527344,0.20147607257800987,,1.0,MA_cross_Sentiment,21,737854.6305555556,Broker,21,1000.0,1000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,,DrawDown,21,0.0,0.0
22,newsAMC,22,2021-03-05 15:10:00,47.540000915527344,47.59000015258789,47.41999816894531,47.43000030517578,0.2016248243326522,,1.0,MA_cross_Sentiment,22,737854.6319444445,Broker,22,1000.0,1000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,,DrawDown,22,0.0,0.0
23,newsAMC,23,2021-03-05 15:12:00,47.439998626708984,47.44499969482422,47.290000915527344,47.310001373291016,0.2017706043640684,,1.0,MA_cross_Sentiment,23,737854.6333333333,Broker,23,1000.0,1000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,,DrawDown,23,0.0,0.0
